date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:02	175187/175187	---MCZ	200	added ('OK')	text/html	etag:W/%222ac53-L52NappAqIkzJ/BXA99e5vJR8tY%22	https://maikefeng.gitbook.io/invest-guide/	/home/shihyu/websites/2020/maikefeng.gitbook.io/invest-guide/index.html	(from )
22:49:06	109/109	---M-Z	302	error ('Found')	text/html	date:Sat,%2022%20Feb%202020%2014:49:00%20GMT	https://maikefeng.gitbook.io/robots.txt		(from )
22:49:07	55330/55330	---M--	200	added ('OK')	image/png	etag:W/%22d822-sxpijlacC95T14WMaKYewd4vSo8%22	https://app.gitbook.com/share/space/thumbnail/-LtET6TDCVmUjH1zesyw.png	/home/shihyu/websites/2020/app.gitbook.com/share/space/thumbnail/-LtET6TDCVmUjH1zesyw.png	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:08	274/274	---MC-	200	added ('OK')	text/css	date:Sat,%2022%20Feb%202020%2014:49:07%20GMT	https://fonts.googleapis.com/css?family=Source+Code+Pro:500	/home/shihyu/websites/2020/fonts.googleapis.com/csse4ad.css	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:09	187516/187516	---M-Z	200	added ('OK')	text/css	etag:W/%222dc7c-MlEndlChcp6B66cJCh5yD8CB/Fo%22	https://unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css	/home/shihyu/websites/2020/unpkg.com/emojione-assets@4.0.0/sprites/emojione-sprite-40.min.css	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:10	9/9	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202020%2014:49:09%20GMT	https://www.googleapis.com/	/home/shihyu/websites/2020/www.googleapis.com/index.html	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:10	34654/34654	---MCZ	200	added ('OK')	image/png	etag:W/%228d642269b171f414c59611db82e2c335%22	https://blobscdn.gitbook.com/v0/b/gitbook-28427.appspot.com/o/spaces%2F-LtET6TDCVmUjH1zesyw%2Favatar.png?generation=1573300123938215&alt=media	/home/shihyu/websites/2020/blobscdn.gitbook.com/v0/b/gitbook-28427.appspot.com/o/spaces/-LtET6TDCVmUjH1zesyw/avatar8fef.png	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:10	13/13	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Feb%202020%2014:49:10%20GMT	https://api.amplitude.com/	/home/shihyu/websites/2020/api.amplitude.com/index.html	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:10	84/84	---M--	400	error ('Bad%20Request')	application/json	date:Sat,%2022%20Feb%202020%2014:49:10%20GMT	https://blobscdn.gitbook.com/v0/b/	/home/shihyu/websites/2020/blobscdn.gitbook.com/v0/b/index.html	(from https://maikefeng.gitbook.io/invest-guide/)
22:49:12	41874/41874	---M-Z	200	added ('OK')	text/javascript	etag:W/%22370e-KOES2jq1nY60V8xnUsKMpJZ3GV4%22	https://polyfill.io/v3/polyfill.min.js?flags=gated&features=Intl	/home/shihyu/websites/2020/polyfill.io/v3/polyfill.min5eb0.js	(from https://maikefeng.gitbook.io/invest-guide/)
